dev_type,dev_name,dev_id,dev_cmd_read,dev_cmd_write,stop
4channelCtrl,4chCtrl_desk,01836553,YES,YES,
4channelCtrl,,abcdabcd,YES,YES,
4channelCtrl,,1122aabb,YES,YES,
4channelCtrl,4chCtrl_2chdesk,01a2f413,YES,YES,
curtainCtrl,curtainCtrl_0,11223346,YES,YES,
tempCtrl,tempCtrl_0,11223347,YES,YES,
bodySensor,bodySensor_0,11223348,YES,NO,
humTempSensor,humTempSensor_0,11223349,YES,NO,
curtainSensor,curtainSensor_0,11223350,YES,NO,
keySwitch,keySwitch_0,11223351,YES,NO,
